date,year,quarter,region,country,port,product_category,monthly_demand,logistics_cost,inventory_cost,fuel_cost,holding_cost,lead_time_days,service_level,fulfillment_rate,delay_probability,disruption_score,demand_volatility
2019-01-01,2019,1,Asia,China,Rotterdam,Pharma,1097.64,59987.38,19023.46,20995.58,7610.18,29.15,0.76,0.71,0.32,0.41,0.15
2019-02-01,2019,1,Europe,Netherlands,Rotterdam,Electronics,923.47,45210.27,19300.34,15823.59,7720.14,26.85,0.78,0.73,0.27,0.36,0.19
2019-03-01,2019,1,North America,USA,Los Angeles,FMCG,1154.82,50789.22,21200.58,17776.23,8480.23,31.52,0.74,0.70,0.35,0.42,0.18
2019-04-01,2019,2,Middle East,UAE,Dubai,Automotive,980.21,52876.10,20800.12,18506.64,8320.05,30.12,0.75,0.71,0.33,0.40,0.16
2019-05-01,2019,2,Africa,Egypt,Rotterdam,FMCG,1025.55,51032.15,20012.45,17861.25,8004.98,29.89,0.76,0.72,0.31,0.39,0.17
2019-06-01,2019,2,Asia,India,Shanghai,Pharma,1102.34,59789.44,19654.21,20926.30,7861.68,28.47,0.77,0.73,0.32,0.41,0.18
2019-07-01,2019,3,Europe,Germany,Rotterdam,Electronics,940.18,46012.33,19200.65,16104.31,7680.26,27.25,0.78,0.74,0.28,0.37,0.19
2019-08-01,2019,3,North America,Canada,Los Angeles,FMCG,1167.77,50544.21,21125.45,17690.47,8450.18,32.12,0.73,0.69,0.36,0.43,0.18
2019-09-01,2019,3,Middle East,Saudi Arabia,Dubai,Automotive,995.44,53001.55,20544.12,18550.54,8201.65,30.55,0.75,0.71,0.34,0.41,0.17
2019-10-01,2019,4,Africa,Kenya,Singapore,FMCG,1012.88,50876.44,19876.21,17806.75,7950.48,29.72,0.76,0.72,0.32,0.40,0.18
2019-11-01,2019,4,Asia,Vietnam,Shanghai,Pharma,1089.33,59567.33,19523.55,20848.56,7809.42,28.92,0.77,0.73,0.31,0.41,0.16
2019-12-01,2019,4,Europe,Poland,Rotterdam,Electronics,934.77,46234.22,19350.33,16181.97,7740.13,27.58,0.78,0.73,0.28,0.37,0.18
2020-01-01,2020,1,North America,Mexico,Los Angeles,FMCG,1150.33,50788.44,21201.12,17775.95,8480.45,31.22,0.74,0.70,0.35,0.42,0.19
2020-02-01,2020,1,Middle East,UAE,Dubai,Automotive,982.12,52876.22,20801.22,18506.65,8320.09,30.10,0.75,0.71,0.33,0.40,0.16
2020-03-01,2020,1,Africa,Egypt,Rotterdam,FMCG,1028.55,51035.12,20015.12,17861.29,8006.05,29.90,0.76,0.72,0.31,0.39,0.17
2020-04-01,2020,2,Asia,China,Shanghai,Pharma,1105.34,59800.12,19656.34,20930.04,7862.54,28.50,0.77,0.73,0.32,0.41,0.18
2020-05-01,2020,2,Europe,Netherlands,Rotterdam,Electronics,942.88,46020.12,19203.21,16107.04,7681.28,27.30,0.78,0.74,0.28,0.37,0.19
2020-06-01,2020,2,North America,USA,Los Angeles,FMCG,1169.33,50550.12,21130.12,17695.54,8451.05,32.15,0.73,0.69,0.36,0.43,0.18
2020-07-01,2020,3,Middle East,Saudi Arabia,Dubai,Automotive,997.44,53010.12,20550.22,18555.54,8203.45,30.60,0.75,0.71,0.34,0.41,0.17
2020-08-01,2020,3,Africa,Kenya,Singapore,FMCG,1015.88,50890.12,19880.22,17810.75,7952.05,29.75,0.76,0.72,0.32,0.40,0.18
